age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
56,Private,HS-grad,15,Never-married,Tech,Wife,Black,Female,0,1000,39,UK,<=50K
46,Private,Bachelors,11,Never-married,Sales,Not-in-family,White,Female,0,0,54,UK,>50K
32,Private,Bachelors,11,Never-married,Labor,Wife,Black,Male,5000,0,25,United-States,<=50K
60,Government,PhD,14,Never-married,Labor,Husband,White,Male,5000,0,46,UK,>50K
25,Government,HS-grad,14,Divorced,Labor,Husband,Asian,Male,5000,0,47,United-States,<=50K
38,Government,Masters,14,Never-married,Labor,Not-in-family,White,Male,0,0,30,United-States,>50K
56,Self-emp,Masters,11,Never-married,Sales,Wife,Black,Female,5000,0,28,UK,>50K
36,Self-emp,PhD,12,Married,Labor,Husband,White,Male,5000,2000,47,UK,>50K
40,Private,Masters,14,Married,Sales,Husband,Black,Male,0,1000,38,United-States,<=50K
28,Government,PhD,13,Divorced,Sales,Wife,White,Female,5000,2000,58,UK,>50K
28,Private,HS-grad,10,Divorced,Labor,Not-in-family,Asian,Female,10000,1000,40,United-States,<=50K
41,Government,Masters,9,Married,Labor,Not-in-family,Black,Female,0,2000,50,India,>50K
53,Government,HS-grad,11,Married,Labor,Not-in-family,Black,Male,5000,2000,26,India,<=50K
57,Government,Bachelors,13,Never-married,Sales,Husband,White,Male,0,0,56,United-States,>50K
41,Self-emp,Masters,10,Never-married,Exec-managerial,Wife,White,Female,0,2000,44,United-States,>50K
20,Self-emp,Bachelors,10,Divorced,Sales,Husband,White,Male,10000,1000,47,UK,>50K
39,Government,Masters,8,Married,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
19,Private,HS-grad,15,Divorced,Labor,Husband,White,Female,0,1000,36,United-States,<=50K
41,Government,PhD,13,Never-married,Sales,Husband,Black,Female,0,2000,45,UK,>50K
61,Government,HS-grad,11,Divorced,Labor,Wife,Asian,Female,5000,0,47,UK,>50K
47,Private,HS-grad,14,Divorced,Exec-managerial,Husband,White,Male,0,0,56,India,<=50K
55,Government,HS-grad,12,Divorced,Exec-managerial,Husband,Black,Male,5000,0,36,United-States,>50K
19,Private,Masters,14,Never-married,Sales,Not-in-family,Asian,Male,0,0,36,United-States,>50K
